Lactose,Whey central,Whey west,Whey east,NDPSR whey avg,CME whey avg,NDPSR NFDM,34p WPC,Nonfat west,Nonfat central east,Sweet cream buttermilk central,AA butter,Cheese 40 blocks,Cheese barrel,Delac
0.435,0.61,0.62,0.6775,0.6837,0.5615,1.834,1.8125,1.77,1.805,1.92,2.7244,2.3808,2.142580368866575,0.3590250264876148
0.4375,0.59,0.61,0.6575,0.6808,0.4985,1.8247,1.8125,1.735,1.7925,1.92,2.7033,2.3971,2.111377797491063,0.12439327272296108
0.4375,0.5775,0.59,0.645125,0.676,0.5025,1.8168,1.82625,1.775,1.83,1.935,2.7208,1.5827499999999999,1.509128357614768,0.16044286030808563
0.4375,0.575,0.59,0.63125,0.6375,0.5463,1.7805,1.81625,1.825,1.855,1.935,2.8195,2.3681,2.463546410123826,0.19076303483579893
0.44,0.575,0.5925,0.60875,0.6297,0.537,1.7904,1.825,1.8575,1.8725,1.93,2.8447,2.3655,2.475448251860235,0.22601384382252165
0.44,0.57,0.59,0.6075,0.6211,0.508,1.8197,1.825,1.8575,1.8725,1.935,2.9023,2.3421,2.3100014241675297,0.221366093298337
0.445,0.57,0.575,0.605,0.6145,0.4875,1.8204,1.8325,1.835,1.875,1.92,2.9791,2.3092,2.214888138151286,0.2363750416681436
0.455,0.5325,0.555,0.5975,0.5975,0.4905,1.8389,1.8325,1.81,1.845,1.92,2.9607,2.2738,2.11259748514786,0.3590250264876148
0.455,0.525,0.54,0.57625,0.5877,0.4925,1.8161,1.8325,1.79,1.825,1.886,2.9279,2.2227,2.106715027036487,0.3590250264876148
0.455,0.525,0.54,0.5625,0.5264,0.469,1.8423,1.8325,1.755,1.815,1.885,2.974,2.2034,1.8318986325566513,0.10150803893069726
0.455,0.4975,0.51,0.56,0.5427,0.463,1.8269,1.8325,1.72,1.745,1.875,2.9674,2.1647,1.7854919213507556,0.3590250264876148
0.455,0.485,0.51,0.515,0.5494,0.4515,1.7959,1.8275,1.685,1.715,1.8675,2.965,1.924,1.621510240086549,0.3590250264876148
0.455,0.455,0.51,0.515,0.539,0.432,1.7366,1.8275,1.65625,1.69,1.8675,2.9322,2.0879,1.956694622438903,0.09400548554820465
0.455,0.45,0.485,0.5,0.5348,0.442,1.7327,1.8075,1.585,1.625,1.855,2.9667,2.0369,1.7459688006452354,0.3590250264876148
0.455,0.45,0.49,0.4925,0.4872,0.449,1.7047,1.8075,1.4875,1.555,1.9,3.0253,1.9629,1.509128357614768,0.3590250264876148
0.455,0.4525,0.49,0.4925,0.5109,0.461,1.6868,1.8075,1.52,1.56,1.845,2.9606,1.9026,1.5980453627576474,0.3590250264876148
0.455,0.4525,0.535,0.49875,0.4896,0.475,1.5862,1.8075,1.5475,1.56,1.89,2.9724,1.888,1.956419815986103,0.2379827675640449
0.455,0.46,0.515,0.50375,0.5014,0.4494,1.5933,1.805,1.575,1.565,1.83,3.0249,1.876,1.9032030394038282,0.28331852414361647
0.4575,0.46,0.53,0.5025,0.4895,0.476,1.5916,1.805,1.565,1.57,1.9025,3.0872,1.8432,1.89209547807633,0.2515277146349424
0.4575,0.45,0.5425,0.505,0.489,0.45,1.5887,1.805,1.595,1.58,1.815,3.1415,1.8181,1.9015341316666643,0.28682111991575976
0.4575,0.4425,0.515,0.4975,0.4889,0.4445,1.5657,1.805,1.5975,1.58,1.81,3.1738,1.8951,2.065298982770268,0.3222355431286974
0.465,0.44,0.5,0.48875,0.4891,0.426,1.567,1.805,1.5775,1.555,1.775,3.1352,1.9897,2.0702442220062753,0.32479078442289233
0.465,0.44,0.5,0.465,0.4892,0.424,1.5808,1.8075,1.5625,1.555,1.73875,3.1923,2.0301,2.0434385137497664,0.2676124572599896
0.485,0.44,0.505,0.4675,0.4846,0.439,1.5862,1.81,1.52,1.52,1.72,1.5954000000000002,2.0306,1.9159802401854389,0.17764995151220475
0.485,0.44,0.495,0.465,0.488,0.434,1.5887,1.81,1.49,1.505,1.69,1.5954000000000002,2.0515,1.867139085299577,0.1380787317406822
0.485,0.44,0.48625,0.4675,0.48,0.4505,1.5729,1.815,1.4725,1.46,1.665,3.1407,2.0693,1.871747850256784,0.1250848162985092
0.485,0.44,0.48,0.4625,0.4826,0.439,1.5471,1.8175,1.47375,1.445,1.645,3.1168,2.0688,1.9327343446704863,0.19586623941271997
0.485,0.44,0.485,0.46625,0.4812,0.44,1.4967,1.8075,1.4575,1.445,1.6125,2.8963,2.0499,2.0862033371633952,0.28937064727032036
0.485,0.44,0.485,0.4625,0.4678,0.44,1.4855,1.8075,1.48,1.445,1.585,2.8986,2.0613,2.1383513157254965,0.3378390715205162
0.485,0.435,0.48,0.45625,0.4644,0.448,1.4933,1.7825,1.4675,1.4275,1.535,2.9182,2.1229,2.1177636456145965,0.2562329276765529
0.485,0.43,0.4775,0.4525,0.4707,0.4445,1.4553,1.775,1.4575,1.42,1.4925,2.9491,2.1912,2.2964122620451755,0.29598094338129566
0.475,0.415,0.4775,0.45125,0.4682,0.453,1.478,1.75,1.435,1.39,1.45,2.9543,2.1891,2.171019114330202,0.15013078668582902
0.475,0.41,0.465,0.44375,0.4625,0.3835,1.4669,1.725,1.415,1.38,1.405,2.8324,2.162,2.055571861702616,0.2840484528823277
0.475,0.405,0.44,0.43875,0.4448,0.4038,1.4381,1.7275,1.415,1.38,1.395,2.7615,2.1315,2.149564388788008,0.30025213003472495
0.405,0.45125,0.46,0.44,0.4385,0.486,1.1091,0.94,1.145,1.1525,1.035,1.5281,1.6639,1.6399119437266974,0.3791566276356608
0.405,0.485,0.48,0.4425,0.4404,0.51,1.1239,0.965,1.16,1.1625,1.05,1.4895,1.6677,1.6000034788341324,0.4130487047954077
0.405,0.49,0.4875,0.495,0.4577,0.5375,1.1337,0.9825,1.1875,1.195,1.08,1.4633,1.6992,1.7235670056683086,0.3829016881060936
0.42,0.495,0.5,0.5,0.4726,0.5225,1.1507,0.9925,1.165,1.165,1.075,1.4149,1.7853,1.6650184666366274,0.36777893447498733
0.4125,0.5025,0.5075,0.5025,0.4817,0.535,1.1445,1.0,1.165,1.1575,1.075,1.4278,1.7845,1.6952683144816716,0.3654452416802507
0.4125,0.5075,0.515,0.52125,0.4955,0.54,1.1494,1.01,1.14,1.14,1.075,1.346,1.7514,1.619329828354836,0.3314838065376038
0.4125,0.52,0.515,0.50875,0.5033,0.5475,1.1281,1.02,1.135,1.13,1.08,1.3335,1.6782,1.6080866095271507,0.37777344048793293
0.42,0.5225,0.54125,0.53,0.5098,0.549,1.1192,1.025,1.115,1.115,1.085,1.3609,1.6653,1.5773075538690149,0.38169047503819487
0.42,0.5625,0.5475,0.53125,0.5168,0.5695,1.087,1.025,1.1275,1.1425,1.085,1.4011,1.6186,1.6312368586871573,0.5041367308720276
0.425,0.565,0.5625,0.56,0.53,0.5935,1.1034,1.03,1.1575,1.15,1.09,1.5087,1.613,1.6306438723865329,0.43945545779405193
0.43,0.59,0.58,0.56875,0.5467,0.6045,1.102,1.045,1.165,1.165,1.09,1.6069,1.6308,1.653489647546405,0.47249053641200267
0.44,0.6,0.595,0.5775,0.5568,0.6215,1.1321,1.07,1.175,1.165,1.09,1.6233,1.6941,1.6380751884845306,0.40958666039566594
0.445,0.605,0.60375,0.595,0.5806,0.6444,1.1366,1.09,1.16375,1.165,1.09,1.5984,1.7488,1.7225350877714631,0.34175649570044686
0.45,0.61,0.615,0.6175,0.5897,0.65,1.1483,1.09375,1.17,1.16625,1.095,1.6729,1.7808,1.7104086856745027,0.317699649863723
0.45,0.6225,0.63,0.615,0.6074,0.661,1.1645,1.0975,1.1925,1.195,1.1275,1.7724,1.7824,1.7274376232310473,0.3017186752207819
0.45,0.6275,0.64875,0.63125,0.6093,0.668,1.1645,1.0975,1.21,1.205,1.1275,1.8374,1.7793,1.7445943141056353,0.31436237832733993
0.45,0.63,0.655,0.63875,0.6231,0.663,1.1761,1.105,1.25,1.28,1.14,1.8277,1.7964,1.8930560895573192,0.3449014144393572
0.45,0.65,0.65,0.64,0.6284,0.663,1.1816,1.125,1.32,1.32,1.116,1.8062,1.8207,2.004980507859442,0.44592994113223283
0.45,0.645,0.64,0.6475,0.6438,0.632,1.2181,1.1325,1.34,1.32,1.185,1.8029,1.8248,1.9081865784881746,0.45598176058166584
0.45,0.64,0.6475,0.6425,0.6523,0.641,1.2322,1.1325,1.3225,1.32,1.215,1.7916,1.8257,1.8846396641867975,0.3811075573705658
0.45,0.64,0.64125,0.6125,0.6556,0.6395,1.2439,1.14125,1.31,1.32,1.225,1.8203,1.8153,1.8404443436358826,0.34219523365476645
0.45,0.6375,0.64125,0.61375,0.6481,0.6019,1.2595,1.14125,1.305,1.315,1.215,1.8273,1.7651,1.672912230180064,0.38417597731008546
0.45,0.62125,0.625,0.61,0.653,0.6135,1.268,1.15125,1.295,1.31,1.225,1.7926,1.7089,1.6483604504098266,0.28875801696048997
0.45,0.62,0.6325,0.6325,0.6565,0.6035,1.2676,1.15125,1.305,1.31,1.225,1.8004,1.6262,1.5686904645283128,0.3155921830319963
0.455,0.595,0.62,0.62,0.625,0.59,1.2751,1.15625,1.27,1.28,1.23,1.7835,1.5568,1.4030543238609852,0.2627066533108746
0.455,0.595,0.6075,0.61875,0.6421,0.561,1.2682,1.15625,1.2475,1.28,1.22,1.7972,1.5349,1.3686419253516022,0.29425622613887836
0.46,0.5675,0.5975,0.6175,0.6218,0.5056,1.2626,1.15625,1.245,1.25,1.215,1.7682,1.5314,1.3059040607732824,0.3760361031615813
0.46,0.5475,0.5825,0.6075,0.6287,0.53,1.2557,1.15125,1.245,1.245,1.215,1.7836,1.5365,1.412647817259605,0.2714540211245209
0.46,0.535,0.585,0.6075,0.555,0.5365,1.2501,1.155,1.235,1.23875,1.215,1.7264,1.5853,1.4064710632575401,0.311894001953553
0.455,0.53,0.57875,0.54,0.5748,0.5195,1.2672,1.1575,1.23,1.23875,1.215,1.7275,1.6624,1.4649358158803918,0.2690528184325356
0.455,0.50375,0.55875,0.5375,0.587,0.507,1.2375,1.1575,1.2425,1.24,1.215,1.7153,1.6604,1.649592156166077,0.28862280981994703
0.455,0.50375,0.5525,0.56,0.581,0.5275,1.2677,1.1575,1.255,1.2425,1.215,1.7068,1.6599,1.5689894808161928,0.20166004267363702
0.455,0.50375,0.55375,0.56875,0.5605,0.525,1.2579,1.1575,1.2525,1.245,1.205,1.7019,1.651,1.5612695163927521,0.24444886011234912
0.45,0.4975,0.5525,0.55625,0.5536,0.512,1.2768,1.1475,1.25,1.245,1.2275,1.7301,1.6956,1.5240469349642292,0.22552598418701164
0.45,0.495,0.5525,0.5425,0.5513,0.49,1.2619,1.1525,1.275,1.295,1.2275,1.686,1.7471,1.7201998510018797,0.3322710005678635
0.44,0.5,0.535,0.5425,0.5386,0.52,1.2621,1.14375,1.32,1.325,1.24,1.7527,1.7737,1.8369617469934758,0.3282095402763616
0.44,0.5,0.54,0.535,0.5259,0.53,1.2716,1.14375,1.3425,1.345,1.26,1.7828,1.7753,1.8560157277962734,0.3256135364627111
0.44,0.51,0.54,0.535,0.5259,0.53,1.2902,1.14375,1.335,1.35,1.26,1.7828,1.7753,1.766199279642504,0.30515429146383655
0.44,0.51,0.5575,0.56025,0.5352,0.5785,1.3045,1.14375,1.345,1.385,1.27,1.784,1.7892,1.8603942088124208,0.1803730455367203
0.435,0.5475,0.5575,0.53375,0.5298,0.5915,1.3145,1.14375,1.36,1.395,1.27,1.7654,1.7887,1.7864156583366655,0.2421132220291744
0.425,0.565,0.56625,0.55,0.5362,0.6005,1.3427,1.1575,1.42,1.455,1.2925,1.7579,1.7973,1.8471048519877846,0.27797333044485084
0.42,0.575,0.5675,0.55,0.5406,0.606,1.3548,1.1575,1.505,1.5,1.3025,1.7257,1.8077,1.9683183561009745,0.3506939265614437
